ENTIDAD,PUESTO,NOMBRE_COMPLETO,DJI_ESTADO,DJI_REF
MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS (MINJUS) VER TODAS LAS DJIS,Ministra - Despacho Ministerial,REVILLA VERGARA ANA TERESA,FIRMADA 29/10/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=20677&llave=RVJ3KEHK&idet=1
MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS (MINJUS) VER TODAS LAS DJIS,Ministra - Despacho Ministerial,NEYRA ZEGARRA ANA CRISTINA,FIRMADA 11/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=22721&llave=TU8DVVG4&idet=1
MINISTERIO DE EDUCACIÓN (MINEDU) VER TODAS LAS DJIS,MINISTRO DE ESTADO EN EL DESPACHO DE EDUCACIÓN,ALFARO PAREDES DANIEL,FIRMADA 29/03/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=13539&llave=CNX0FBSO&idet=1
MINISTERIO DE EDUCACIÓN (MINEDU) VER TODAS LAS DJIS,Ministra,PABLO MEDINA FLOR AIDEE,FIRMADA 02/04/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=13326&llave=B9QLEYMC&idet=1
MINISTERIO DE EDUCACIÓN (MINEDU) VER TODAS LAS DJIS,MINISTRO DE EDUCACIÓN,BENAVIDES ABANTO CARLOS MARTIN,FIRMADA 10/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34811&llave=SO5DSHJL&idet=1
MINISTERIO DE EDUCACIÓN (MINEDU) VER TODAS LAS DJIS,MINISTRO DE EDUCACIÓN,D ALESSIO IPINZA FERNANDO ANTONIO,null,null
MINISTERIO DE SALUD (MINSA) VER TODAS LAS DJIS,MINISTRA DE SALUD,PESSAH ELJAY SILVIA ESTER,FIRMADA 08/11/2018,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=5328&llave=XEMAYAIQ&idet=1
MINISTERIO DE SALUD (MINSA) VER TODAS LAS DJIS,MINISTRA DE SALUD,TOMAS GONZALES ELIZABETH ZULEMA,FIRMADA 12/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=11460&llave=WDNP8EST&idet=1
MINISTERIO DE SALUD (MINSA) VER TODAS LAS DJIS,MINISTRA DE SALUD,MAZZETTI SOLER PILAR ELENA,FIRMADA 11/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=18467&llave=LCX1LQI2&idet=1
MINISTERIO DE SALUD (MINSA) VER TODAS LAS DJIS,MINISTRA DE SALUD,HINOSTROZA PEREYRA MARIA ELIZABETH JACQUELINE,FIRMADA 22/07/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=25239&llave=CK2PMPQI&idet=1
