ENTIDAD,PUESTO,NOMBRE_COMPLETO,DJI_ESTADO,DJI_REF
CONGRESO DE LA REPÚBLICA,PROFESIONAL DEL GRUPO FUNCIONAL DE COMPRAS,BECERRA VERAMENDI LOLI IVAN,FIRMADA 30/10/2018,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=4251&llave=DNNWFR95&idet=1
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE INFRAESTRUCTURA TECNOLOGICA,BEDOYA PRIETO VICTOR MANUEL,FIRMADA 24/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34266&llave=CW73OXGL&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,BENAVIDES GAVIDIA WALTER,null,null
CONGRESO DE LA REPÚBLICA,ASESOR PARLAMENTARIO,BENDEZU ECHEVARRIA MARIA ELENA,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,BENITES AGURTO ALFREDO,null,null
CONGRESO DE LA REPÚBLICA,TECNICO DEL AREA DE PROCURADURIA,BENZAQUEN GALLARDO MARIA PAZ,FIRMADA 13/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=36252&llave=HTCAV5FK&idet=1
CONGRESO DE LA REPÚBLICA,ADMINISTRADOR DEL AREA DE ADMINISTRACION DE EDIFICIOS,BERAUN LAFOSSE ELIANNE,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,BETETA RUBIN KARINA JULIZA,FIRMADA 24/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33703&llave=CX7VDOF0&idet=1
CONGRESO DE LA REPÚBLICA,JEFE DE DEPARTAMENTO DE GESTION DOCUMENTAL,BOTTA MONTEBLANCO ROBERTO MANUEL,FIRMADA 11/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35497&llave=O407A31T&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,BOZZO LUCIONI CAMILA,FIRMADA 11/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35957&llave=GHB1AP5K&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,BRAVO ALVARADO CIRENE ELISA,FIRMADA 24/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34236&llave=6IDAXGPS&idet=1
CONGRESO DE LA REPÚBLICA,JEFE DE DEPARTAMENTO DE FINANZAS,BRAVO RONCAL MARIA LUCIA,FIRMADA 25/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34457&llave=BDNUYM9E&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,BURGA CHUQUIPIONDO RICARDO MIGUEL,null,null
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE ADMINISTRACION DE PERSONAL,BUSTOS GUTIERREZ CARMEN ESTELA,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CABRERA VEGA MARIA TERESA,null,null
CONGRESO DE LA REPÚBLICA,JEFE DE OFICINA DE PREVENCION Y SEGURIDAD,CACHO ACOSTA ALEJANDRO MARTIN,FIRMADA 14/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=32984&llave=5MXY9AZP&idet=1
CONGRESO DE LA REPÚBLICA,TECNICO DEL AREA DE INFRAESTRUCTURA,CALVO MARAVI JORGE LUIS,null,null
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE CONTROL POLITICO,CAMPOS RAMOS MARIA MILAGROS SOCORRO,FIRMADA 11/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=32548&llave=WCX7SMHM&idet=1
CONGRESO DE LA REPÚBLICA,TECNICO DEL GRUPO FUNCIONAL DE COMPRAS,CAMPOS VASQUEZ ROSMEL,FIRMADA 10/06/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=36494&llave=ICKJGSN6&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CAMPOS VILLALOBOS ROLANDO,null,null
CONGRESO DE LA REPÚBLICA,TECNICO DEL AREA DE INGENIERIA Y MANTENIMIENTO,CANO IZQUIERDO ROSA ISABEL,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CARCAUSTO HUANCA IRENE,null,null
CONGRESO DE LA REPÚBLICA,JEFE DE OFICINA LEGAL Y CONSTITUCIONAL DEL CONGRESO,CARDENAS SARMIENTO DAVID,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,CARPIO SAMALVIDES MARCOS ANTONIO,FIRMADA 28/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35045&llave=LKVIEUYD&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,CARY CARI LIZARDO GREGORIO,FIRMADA 05/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35405&llave=BLP1SZGY&idet=1
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE INGENIERIA Y MANTENIMIENTO,CASTILLO DOMINGUEZ VICTOR HUGO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CASTILLO OLIVA LUIS FELIPE,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,CASTRO RENTERIA DARINA LETICIA,FIRMADA 27/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34738&llave=RVK2W5HL&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CAYGUARAY GAMBINI LUZ MILAGROS,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CAYLLAHUA BARRIENTOS WILMER,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CESPEDES CARDENAS MARIA TERESA,null,null
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE BIBLIOTECA,CEVALLOS SCUDIN JOSE ANTONIO,FIRMADA 28/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33782&llave=14JJEXYR&idet=1
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE CONTABILIDAD,CHAFLOQUE RAMIREZ PEDRO PABLO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CHAGUA PAYANO POSEMOSCROWTE IRRHOSCOPT,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CHAIÑA CONTRERAS HIPOLITO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CHAVARRIA VILCATOMA ROBERTO CARLOS,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,CHAVEZ COSSIO MARTHA GLADYS,FIRMADA 18/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33363&llave=PNJRMH9U&idet=1
CONGRESO DE LA REPÚBLICA,PROFESIONAL DEL AREA DE PROCURADURIA,CHAVEZ GALLEGOS EDITH CATALINA,FIRMADA 06/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35574&llave=K406SXUT&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,CHAVEZ SANCHEZ FLORA EMILIANA,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CHECCO CHAUCA LENIN ABRAHAM,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CHEHADE MOYA OMAR KARIM,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,CHIHUALA PECHE JAIME LUIS,FIRMADA 06/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35569&llave=7OTL2SYL&idet=1
CONGRESO DE LA REPÚBLICA,JEFE DE DEPARTAMENTO DE COMISIONES,CHIRINOS MARTINEZ JOSE CARLOS,FIRMADA 27/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34722&llave=ND4WLJMP&idet=1
CONGRESO DE LA REPÚBLICA,TECNICO DEL AREA DE INFRAESTRUCTURA,COBOS BENAVIDES EMILIO ALBERTO,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,COLINA VEGA VICTOR RODOLFO,FIRMADA 12/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=36119&llave=PG5ENV9H&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,COLUMBUS MURATA DIETHELL,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,COMBINA SALVATIERRA CESAR AUGUSTO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CONDORI FLORES JULIO FREDY,null,null
CONGRESO DE LA REPÚBLICA,RESPONSABLE DEL G.F. DE COMPRAS,CONDORI ZACARIAS DERY HORTENCIA,FIRMADA 20/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33822&llave=XRUANLIS&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,CONTRERAS BAUTISTA CINDY ARLETTE,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,COSTA SANTOLALLA GINO FRANCISCO,FIRMADA 09/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35435&llave=XCMN5WKP&idet=1
CONGRESO DE LA REPÚBLICA,TECNICO DEL AREA DE INGENIERIA Y MANTENIMIENTO,COTERA MUCHA LIDIO TOBIAS,null,null
CONGRESO DE LA REPÚBLICA,PROFESIONAL DEL GRUPO FUNCIONAL DE COMPRAS,CUPE PACHECO LORENA,null,null
CONGRESO DE LA REPÚBLICA,TECNICO DEL AREA DE INGENIERIA Y MANTENIMIENTO,DAMIAN BALABARCA ELI JESUS,null,null
CONGRESO DE LA REPÚBLICA,RESPONSABLE DEL G.F. DE MENSAJERIA,DAMJANOVIC FERNANDINI PEDRO AGUSTIN,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,DAVALOS ARANGOITIA MERLY PATRICIA,FIRMADA 09/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35735&llave=NOW0EVIF&idet=1
CONGRESO DE LA REPÚBLICA,ESPECIALISTA PARLAMENTARIO DEL AREA DE PROCURADURIA,DAVILA NAVARRO ANABEL,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,DE BELAUNDE DE CARDENAS ALBERTO,FIRMADA 11/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35905&llave=VHB6OXZ2&idet=1
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE SERVICIOS AUXILIARES PARLAMENTARIOS,DE LA CRUZ ESPIRITU NANCY MARIA,FIRMADA 25/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34315&llave=WUKQUTDE&idet=1
CONGRESO DE LA REPÚBLICA,TECNICO DEL AREA DE INGENIERIA Y MANTENIMIENTO,DE LA CRUZ PAREDES WALTER MELQUIADES,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,DE SOUZA VALLES PAOLA ELAINE,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,DEL AGUILA HERRERA EDMUNDO,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,DEL CASTILLO FLORES RONALD AUGUSTO,FIRMADA 04/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34740&llave=VYB3ZJRT&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,DELGADO RAMOS YENI DARINKA,null,null
CONGRESO DE LA REPÚBLICA,PROFESIONAL DEL AREA DE PROCURADURIA,DIAZ BRICEÑO MAIRITHA LISBETH,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,DIAZ SANCHEZ LESLIE KATHERINE,FIRMADA 24/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34094&llave=5DFECYTM&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,DIOSES GUZMAN LUIS REYMUNDO,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,DONAYRE DIAZ MIRTHA ROSARIO,FIRMADA 21/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33966&llave=OQODSVJ7&idet=1
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE ESTADISTICA,DUARTE RODRIGUEZ JUAN GABRIEL,FIRMADA 14/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=32894&llave=LKOCYVFM&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,DURAND BUSTAMANTE KENYON EDUARDO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ESPINOZA ROSALES RENNAN SAMUEL,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ESPINOZA VELARDE YEREMI ARON,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,FABIAN DIAZ YESSY NELIDA,null,null
CONGRESO DE LA REPÚBLICA,PARLAMENTARIO ANDINO,FAIRLIE REINOSO ALAN CARSOL BERNABE,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,FERNANDEZ CHACON CARLOS ENRIQUE,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,FERNANDEZ FLOREZ MATILDE,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,FERNANDEZ PRADA BIASCA CHRISTIAN ADOLFO,FIRMADA 27/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34807&llave=XH1CUMNA&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,FIGUEROA TOLEDO GISELLA ROCIO,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,FLORES CABRERA ORLANDO ALEJANDRO,FIRMADA 18/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33292&llave=LMD8WAJY&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,FLORES GAVILAN KARINA ELIZABETH,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,FLORES VILCHEZ CLEMENTE,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,FLORES VILLEGAS JOHAN,null,null
CONGRESO DE LA REPÚBLICA,OFICIAL MAYOR,FORNO FLOREZ GIOVANNI CARLO ANTONIO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,GALARRETA VELARDE LUIS FERNANDO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,GALLARDO BECERRA MARIA MARTINA,FIRMADA 11/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=36006&llave=UQKGJLY6&idet=1
CONGRESO DE LA REPÚBLICA,PROFESIONAL DEL GRUPO FUNCIONAL DE COMPRAS,GALLARDO CORREA DELIA ROSSMERY,FIRMADA 17/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33077&llave=CBDXORP6&idet=1
CONGRESO DE LA REPÚBLICA,PROFESIONAL DEL AREA DE PROCURADURIA,GARCIA CANO YURI IVAN,null,null
CONGRESO DE LA REPÚBLICA,PROFESIONAL DEL AREA DE ADMINISTRACION DE EDIFICIOS,GARCIA MARTINEZ NERY CONSUELO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,GARCIA OVIEDO PAUL GABRIEL,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,GARCIA RODRÍGUEZ JAQUELINE CECILIA,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,GERONIMO ALBORNOZ JUAN CARLOS,FIRMADA 25/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33305&llave=KWBZEGYI&idet=1
CONGRESO DE LA REPÚBLICA,Jefe de Oficina de Planeamiento y Presupuesto,GONZALES CARRASCO VICENTE,FIRMADA 05/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=31932&llave=ZX9OSAXG&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,GONZALES FERNANDEZ MARIA ANTONIETA,FIRMADA 13/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=36286&llave=DPGYST7A&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,GONZALES SANTOS MIGUEL ANGEL,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,GONZALES TUANAMA CESAR,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,GONZALEZ CRUZ MOISES,null,null
CONGRESO DE LA REPÚBLICA,PARLAMENTARIO ANDINO,GONZALEZ FERNANDEZ COSME MARIANO,null,null
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE TRAMITE Y DIGITALIZACION DE DOCUMENTOS,GUERRERO ESTRADA RUBE OSWALDO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,GUIBOVICH ARTEAGA OTTO NAPOLEON,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,GUPIOC RIOS ROBINSON DOCITEO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,GUTARRA RAMOS ROBLEDO NOE,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,GUTIERREZ CANALES MARIO RAUL,FIRMADA 05/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35403&llave=FH2GODV1&idet=1
